subset,gen_anc,sex_chr_nonpar_group,variant_qc,capture,csq_set,csq,loftee_label,loftee_flags,max_af,n_non_ref_mean,n_non_ref_min,n_non_ref_max,n_non_ref_q25,n_non_ref_q50,n_non_ref_q75,n_het_mean,n_het_min,n_het_max,n_het_q25,n_het_q50,n_het_q75,n_hom_var_mean,n_hom_var_min,n_hom_var_max,n_hom_var_q25,n_hom_var_q50,n_hom_var_q75,n_hemi_var_mean,n_hemi_var_min,n_hemi_var_max,n_hemi_var_q25,n_hemi_var_q50,n_hemi_var_q75,n_high_ab_het_ref_mean,n_high_ab_het_ref_min,n_high_ab_het_ref_max,n_high_ab_het_ref_q25,n_high_ab_het_ref_q50,n_high_ab_het_ref_q75,n_over_gq_60_mean,n_over_gq_60_min,n_over_gq_60_max,n_over_gq_60_q25,n_over_gq_60_q50,n_over_gq_60_q75,n_over_dp_20_mean,n_over_dp_20_min,n_over_dp_20_max,n_over_dp_20_q25,n_over_dp_20_q50,n_over_dp_20_q75,n_over_dp_30_mean,n_over_dp_30_min,n_over_dp_30_max,n_over_dp_30_q25,n_over_dp_30_q50,n_over_dp_30_q75,n_non_ref_alleles_mean,n_non_ref_alleles_min,n_non_ref_alleles_max,n_non_ref_alleles_q25,n_non_ref_alleles_q50,n_non_ref_alleles_q75,n_singleton_mean,n_singleton_min,n_singleton_max,n_singleton_q25,n_singleton_q50,n_singleton_q75,n_singleton_ti_mean,n_singleton_ti_min,n_singleton_ti_max,n_singleton_ti_q25,n_singleton_ti_q50,n_singleton_ti_q75,n_singleton_tv_mean,n_singleton_tv_min,n_singleton_tv_max,n_singleton_tv_q25,n_singleton_tv_q50,n_singleton_tv_q75,n_insertion_mean,n_insertion_min,n_insertion_max,n_insertion_q25,n_insertion_q50,n_insertion_q75,n_deletion_mean,n_deletion_min,n_deletion_max,n_deletion_q25,n_deletion_q50,n_deletion_q75,n_transition_mean,n_transition_min,n_transition_max,n_transition_q25,n_transition_q50,n_transition_q75,n_transversion_mean,n_transversion_min,n_transversion_max,n_transversion_q25,n_transversion_q50,n_transversion_q75,n_indel_mean,n_indel_min,n_indel_max,n_indel_q25,n_indel_q50,n_indel_q75,n_snp_mean,n_snp_min,n_snp_max,n_snp_q25,n_snp_q50,n_snp_q75,r_ti_tv_mean,r_ti_tv_min,r_ti_tv_max,r_ti_tv_q25,r_ti_tv_q50,r_ti_tv_q75,r_ti_tv_singleton_mean,r_ti_tv_singleton_min,r_ti_tv_singleton_max,r_ti_tv_singleton_q25,r_ti_tv_singleton_q50,r_ti_tv_singleton_q75,r_het_hom_var_mean,r_het_hom_var_min,r_het_hom_var_max,r_het_hom_var_q25,r_het_hom_var_q50,r_het_hom_var_q75,r_insertion_deletion_mean,r_insertion_deletion_min,r_insertion_deletion_max,r_insertion_deletion_q25,r_insertion_deletion_q50,r_insertion_deletion_q75
gnomad,afr,x_nonpar,pass,ukb_broad_intersect,lof,,HC,no_flags,,0.4170848268,0,4,0,0,1,0.2870967742,0,4,0,0,0,0.01708482676,0,2,0,0,0,0.1129032258,0,3,0,0,0,0,0,0,0,0,0,0.3854241338,0,4,0,0,1,0.3772998805,0,4,0,0,1,0.323655914,0,4,0,0,1,0.4341696535,0,5,0,0,1,0.01600955795,0,4,0,0,0,0.003225806452,0,1,0,0,0,0.0027479092,0,1,0,0,0,0.01995221027,0,2,0,0,0,0.2857228196,0,3,0,0,1,0.1209080048,0,3,0,0,0,0.007586618877,0,2,0,0,0,0.3056750299,0,4,0,0,1,0.1284946237,0,3,0,0,0,0.152,0,2,0,0,0,0,0,0,0,0,0,0.1421052632,0,2,0,0,0,0.02334013143,0,2,0,0,0
gnomad,afr,y_nonpar,pass,ukb_broad_intersect,lof,,HC,no_flags,,4.24E-04,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.24E-04,0,1,0,0,0,0,0,0,0,0,0,2.83E-04,0,1,0,0,0,2.83E-04,0,1,0,0,0,2.83E-04,0,1,0,0,0,4.24E-04,0,1,0,0,0,4.24E-04,0,1,0,0,0,1.41E-04,0,1,0,0,0,1.41E-04,0,1,0,0,0,1.41E-04,0,1,0,0,0,0,0,0,0,0,0,1.41E-04,0,1,0,0,0,1.41E-04,0,1,0,0,0,1.41E-04,0,1,0,0,0,2.83E-04,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,null,null,null,null,null,NaN,null,null,null,null,null
gnomad,afr,autosome_or_par,pass,ukb_broad_intersect,lof,,HC,with_flags,,36.09898447,17,58,32,36,40,28.92712067,10,51,25,29,33,7.171863799,0,19,5,7,9,0,0,0,0,0,0,0.0188172043,0,3,0,0,0,35.17329749,17,57,31,35,39,33.66529271,14,55,29,33,37,29.87550777,9,53,26,30,34,43.27084827,20,69,39,43,48,0.2593787336,0,5,0,0,0,0.03835125448,0,2,0,0,0,0.04557945042,0,2,0,0,0,14.88189964,2,33,12,15,17,14.89360812,3,31,12,15,17,9.35442055,1,19,8,9,11,4.140919952,0,13,3,4,5,29.77550777,11,56,26,29,34,13.4953405,2,26,11,13,15,2.881432042,0.25,19,1.666666667,2.333333333,3.333333333,0.02540106952,0,1,0,0,0,4.845950835,0.8333333333,42,3,4.125,5.666666667,1.047047386,0.1875,5.666666667,0.8,1,1.230769231
gnomad,afr,x_nonpar,pass,ukb_broad_intersect,lof,,HC,with_flags,,0.01762246117,0,2,0,0,0,0.01296296296,0,2,0,0,0,5.97E-05,0,1,0,0,0,0.004599761051,0,1,0,0,0,0,0,0,0,0,0,0.01654719235,0,2,0,0,0,0.01642771804,0,2,0,0,0,0.01445639188,0,2,0,0,0,0.01768219833,0,2,0,0,0,6.57E-04,0,2,0,0,0,5.97E-05,0,1,0,0,0,1.19E-04,0,1,0,0,0,0.005555555556,0,1,0,0,0,0.001314217443,0,2,0,0,0,0.01009557945,0,2,0,0,0,7.17E-04,0,1,0,0,0,0.006869772999,0,2,0,0,0,0.01081242533,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gnomad,afr,y_nonpar,pass,ukb_broad_intersect,lof,,HC,with_flags,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,null,null,null,null,null,NaN,null,null,null,null,null,NaN,null,null,null,null,null,NaN,null,null,null,null,null
gnomad,afr,autosome_or_par,pass,ukb_broad_intersect,lof,,HC,,,90.62114695,50,129,84,91,97,73.66164875,42,108,68,74,80,16.95949821,4,39,14,17,20,0,0,0,0,0,0,0.03620071685,0,4,0,0,0,88.54850657,50,128,82,88,95,84.67365591,45,127,77,85,92,74.59462366,28,119,66,75,84,107.5806452,57,150,100,108,115,1.707048984,0,9,1,1,2,0.2685782557,0,4,0,0,0,0.2947431302,0,5,0,0,1,28.87467145,7,51,25,29,33,40.60591398,21,69,36,40,45,23.44898447,7,43,20,23,26,14.65107527,2,29,12,15,17,69.48058542,36,103,63,70,76,38.10005974,15,63,34,38,42,1.70033323,0.5714285714,9.666666667,1.333333333,1.615384615,2,0.2543818282,0,4,0,0,0,4.617670001,1.484848485,19.75,3.6875,4.4,5.3125,0.7219699826,0.21875,1.608695652,0.6136363636,0.7105263158,0.8205128205
gnomad,afr,x_nonpar,pass,ukb_broad_intersect,lof,,HC,,,0.4347072879,0,4,0,0,1,0.3000597372,0,4,0,0,1,0.01714456392,0,2,0,0,0,0.1175029869,0,3,0,0,0,0,0,0,0,0,0,0.4019713262,0,4,0,0,1,0.3937275986,0,4,0,0,1,0.3381123059,0,4,0,0,1,0.4518518519,0,5,0,0,1,0.01666666667,0,4,0,0,0,0.003285543608,0,1,0,0,0,0.002867383513,0,1,0,0,0,0.02550776583,0,2,0,0,0,0.287037037,0,3,0,0,1,0.1310035842,0,3,0,0,0,0.008303464755,0,2,0,0,0,0.3125448029,0,4,0,0,1,0.139307049,0,3,0,0,0,0.1605839416,0,2,0,0,0,0,0,0,0,0,0,0.1590909091,0,2,0,0,0,0.02745762712,0,2,0,0,0
gnomad,afr,y_nonpar,pass,ukb_broad_intersect,lof,,HC,,,4.24E-04,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.24E-04,0,1,0,0,0,0,0,0,0,0,0,2.83E-04,0,1,0,0,0,2.83E-04,0,1,0,0,0,2.83E-04,0,1,0,0,0,4.24E-04,0,1,0,0,0,4.24E-04,0,1,0,0,0,1.41E-04,0,1,0,0,0,1.41E-04,0,1,0,0,0,1.41E-04,0,1,0,0,0,0,0,0,0,0,0,1.41E-04,0,1,0,0,0,1.41E-04,0,1,0,0,0,1.41E-04,0,1,0,0,0,2.83E-04,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,null,null,null,null,null,NaN,null,null,null,null,null
gnomad,afr,autosome_or_par,pass,ukb_broad_intersect,lof,,LC,,,46.49342891,28,66,43,47,50,34.15728793,14,57,31,34,38,12.33614098,4,25,11,12,14,0,0,0,0,0,0,0.01421744325,0,2,0,0,0,45.87329749,27,66,42,46,50,44.92407407,24,66,41,45,49,41.79898447,15,66,37,42,47,58.82956989,33,82,55,59,63,0.2233572282,0,4,0,0,0,0.03339307049,0,2,0,0,0,0.04091995221,0,3,0,0,0,12.94844683,4,27,11,13,15,22.33076464,6,40,20,22,25,11.67610514,2,23,10,12,14,11.87425329,3,23,10,12,13,35.27921147,15,61,32,35,39,23.55035842,10,39,21,23,26,1.032949229,0.1666666667,5.333333333,0.7857142857,1,1.214285714,0.02962962963,0,1,0,0,0,2.94016681,0.8571428571,12,2.266666667,2.769230769,3.416666667,0.6003837005,0.1538461538,2.222222222,0.4782608696,0.5789473684,0.7
gnomad,afr,x_nonpar,pass,ukb_broad_intersect,lof,,LC,,,0.1945041816,0,4,0,0,0,0.1443847073,0,4,0,0,0,0.001254480287,0,1,0,0,0,0.04886499403,0,3,0,0,0,0,0,0,0,0,0,0.1888291517,0,4,0,0,0,0.1875746714,0,4,0,0,0,0.1740143369,0,4,0,0,0,0.1957586619,0,4,0,0,0,0.004778972521,0,4,0,0,0,8.96E-04,0,1,0,0,0,0.00119474313,0,1,0,0,0,0.003106332139,0,3,0,0,0,0.04761051374,0,2,0,0,0,0.06750298686,0,3,0,0,0,0.07753882915,0,3,0,0,0,0.05071684588,0,4,0,0,0,0.145041816,0,3,0,0,0,0.06275140788,0,2,0,0,0,0,0,0,0,0,0,0.09523809524,0,1,0,0,0,0.008928571429,0,3,0,0,0
